Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
20170530,Dallas Wings,(Favorite), 89  ,-5.0,-4.5,-165.0,0.6060606060606061,0.6277569704535997,0.00821574042547829
,Indiana Fever,(Underdog), 62 ,4.5,5.0,175.0,1.75,0.3722430295464003,0.023668331252600927

20170531,Washington Mystics,(Favorite), 78  ,-7.5,-7.0,-320.0,0.3125,0.7095571095571096,-0.06870629370629366
,Connecticut Sun,(Underdog), 76 ,7.0,7.5,290.0,2.9,0.29044289044289046,0.1327272727272727

20170531,Atlanta Dream,(Favorite), 77  ,-7.5,-7.5,-335.0,0.29850746268656714,0.7575757575757576,-0.016282225237449155
,San Antonio Stars,(Underdog), 70 ,7.5,7.5,290.0,2.9,0.24242424242424243,-0.054545454545454564

20170601,Phoenix Mercury,(Favorite), 99 ,-5.5,-4.5,-225.0,0.4444444444444444,0.6304782349589146,-0.08930921617045667
,Chicago Sky,(Underdog), 91  ,4.5,5.5,230.0,2.3,0.36952176504108536,0.21942182463558157

20170602,New York Liberty,(Favorite), 93  ,-3.5,-3.0,-155.0,0.6451612903225806,0.5854192740926158,-0.03689087165408361
,Dallas Wings,(Underdog), 89 ,3.0,3.5,150.0,1.5,0.4145807259073842,0.03645181476846049

20170603,Indiana Fever,(Favorite), 91  ,-4.0,-4.0,-175.0,0.5714285714285714,0.6,-0.05714285714285722
,Dallas Wings,(Underdog), 85 ,4.0,4.0,165.0,1.65,0.4,0.06000000000000005

20170603,Connecticut Sun,(Favorite), 85 ,-5.0,-4.5,-200.0,0.5,0.6321138211382114,-0.05182926829268297
,San Antonio Stars,(Underdog), 77  ,4.5,5.0,190.0,1.9,0.36788617886178865,0.06686991869918701

20170603,Minnesota Lynx,(Favorite), 100 ,-3.0,-3.0,-155.0,0.6451612903225806,0.6231884057971014,0.025245441795231416
,Seattle Storm,(Underdog), 77  ,3.0,3.0,150.0,1.5,0.37681159420289856,-0.05797101449275355

20170604,Washington Mystics,(Favorite), 78  ,-6.0,-5.0,-220.0,0.45454545454545453,0.6575049759981266,-0.04362912582090672
,Atlanta Dream,(Underdog), 72 ,5.0,6.0,210.0,2.1,0.3424950240018733,0.06173457440580732

20170604,Phoenix Mercury,(Favorite), 72 ,-5.0,-4.5,-200.0,0.5,0.6339453229697132,-0.049082015545430235
,New York Liberty,(Underdog), 88  ,4.5,5.0,180.0,1.8,0.3660546770302868,0.024953095684803084

20170606,Washington Mystics,(Favorite), 101 ,-3.5,-3.0,-150.0,0.6666666666666666,0.5908814589665654,-0.01519756838905767
,Dallas Wings,(Underdog), 89  ,3.0,3.5,150.0,1.5,0.40911854103343465,0.022796352583586588

20170606,Seattle Storm,(Favorite), 85 ,-8.0,-8.0,-340.0,0.29411764705882354,0.7924528301886793,0.025527192008879096
,San Antonio Stars,(Underdog), 76  ,8.0,8.0,300.0,3.0,0.20754716981132076,-0.16981132075471694

20170606,Los Angeles Sparks,(Favorite), 79  ,-13.0,-12.5,-1100.0,0.09090909090909091,0.9258241758241759,0.00999000999001004
,Chicago Sky,(Underdog), 70 ,12.5,13.0,800.0,8.0,0.07417582417582418,-0.33241758241758246

20170607,New York Liberty,(Favorite), 76  ,-4.5,-3.5,-180.0,0.5555555555555556,0.5866171056158219,-0.08748450237538813
,Atlanta Dream,(Underdog), 61 ,3.5,4.5,175.0,1.75,0.41338289438417813,0.1368029595564899

20170607,Phoenix Mercury,(Favorite), 98 ,-5.0,-4.5,-200.0,0.5,0.6303022269353128,-0.05454665959703081
,Indiana Fever,(Underdog), 90  ,4.5,5.0,190.0,1.9,0.3696977730646872,0.07212354188759285

20170609,Minnesota Lynx,(Favorite), 98 ,-8.0,-7.5,-350.0,0.2857142857142857,0.7805010893246187,0.0035014005602240217
,Washington Mystics,(Underdog), 73  ,7.5,8.0,310.0,3.1,0.21949891067538124,-0.10005446623093683

20170609,Seattle Storm,(Favorite), 80 ,-6.0,-5.5,-240.0,0.4166666666666667,0.6532634971796938,-0.07454337899543378
,Indiana Fever,(Underdog), 83  ,5.5,6.0,220.0,2.2,0.3467365028203062,0.10955680902498

20170609,Los Angeles Sparks,(Favorite), 90 ,-7.5,-7.0,-330.0,0.30303030303030304,0.7131221719457013,-0.07078020019196501
,Dallas Wings,(Underdog), 96  ,7.0,7.5,280.0,2.8,0.2868778280542986,0.09013574660633472

20170610,Connecticut Sun,(Favorite), 104  ,-4.0,-3.5,-165.0,0.6060606060606061,0.5811451706188548,-0.06664563506668764
,Atlanta Dream,(Underdog), 71 ,3.5,4.0,160.0,1.6,0.41885482938114516,0.08902255639097745

20170610,San Antonio Stars,(Favorite), 81  ,-3.0,-2.0,-130.0,0.7692307692307693,0.5661273577538289,0.0016099406413896955
,Chicago Sky,(Underdog), 85 ,2.0,3.0,140.0,1.4,0.4338726422461711,0.041294341390810674

20170610,Phoenix Mercury,(Favorite), 87  ,-1.5,0.0,-110.0,0.9090909090909091,0.5075757575757576,-0.03099173553719009
,Los Angeles Sparks,(Underdog), 89 ,0.0,1.5,105.0,1.05,0.49242424242424243,0.009469696969697017

20170611,Washington Mystics,(Favorite), 88  ,-8.0,-8.0,-340.0,0.29411764705882354,0.7962962962962963,0.03050108932461873
,Indiana Fever,(Underdog), 70 ,8.0,8.0,300.0,3.0,0.2037037037037037,-0.18518518518518523

20170611,New York Liberty,(Favorite), 94  ,-3.0,-3.0,-155.0,0.6451612903225806,0.6338028169014085,0.042707860063607495
,Seattle Storm,(Underdog), 86 ,3.0,3.0,140.0,1.4,0.36619718309859156,-0.12112676056338034

20170611,Minnesota Lynx,(Favorite), 91 ,-10.5,-10.0,-550.0,0.18181818181818182,0.8737931034482759,0.032664576802507866
,Dallas Wings,(Underdog), 74  ,10.0,10.5,475.0,4.75,0.12620689655172415,-0.2743103448275862

20170613,Seattle Storm,(Favorite), 86  ,-9.0,-8.5,-430.0,0.23255813953488372,0.7666666666666666,-0.055038759689922556
,Atlanta Dream,(Underdog), 91 ,8.5,9.0,375.0,3.75,0.23333333333333334,0.10833333333333339

20170613,Los Angeles Sparks,(Favorite), 97  ,-12.0,-11.0,-700.0,0.14285714285714285,0.8703007518796992,-0.005370569280343726
,Dallas Wings,(Underdog), 87 ,11.0,12.0,575.0,5.75,0.12969924812030076,-0.12453007518796988

20170614,Connecticut Sun,(Favorite), 96  ,-2.0,-2.0,-125.0,0.8,0.5714285714285714,0.028571428571428525
,New York Liberty,(Underdog), 76 ,2.0,2.0,120.0,1.2,0.42857142857142855,-0.05714285714285716

20170615,Indiana Fever,(Favorite), 85  ,-4.5,-4.0,-175.0,0.5714285714285714,0.6034026214749106,-0.05179588053942613
,Atlanta Dream,(Underdog), 74 ,4.0,4.5,170.0,1.7,0.39659737852508936,0.07081292201774125

20170615,Los Angeles Sparks,(Favorite), 80  ,-14.5,-13.5,-110.0,0.9090909090909091,0.8968253968253969,0.7121212121212122
,San Antonio Stars,(Underdog), 75 ,13.5,14.5,900.0,9.0,0.10317460317460318,0.031746031746031744

20170616,New York Liberty,(Favorite), 102 ,-1.5,-1.0,-120.0,0.8333333333333334,0.5024509803921569,-0.07883986928104575
,Dallas Wings,(Underdog), 93  ,1.0,1.5,105.0,1.05,0.49754901960784315,0.01997549019607847

20170616,Phoenix Mercury,(Favorite), 86  ,-9.5,-9.0,-450.0,0.2222222222222222,0.8048780487804879,-0.016260162601625966
,Chicago Sky,(Underdog), 78 ,9.0,9.5,400.0,4.0,0.1951219512195122,-0.024390243902439046

20170617,Minnesota Lynx,(Favorite), 93  ,-10.0,-9.5,-500.0,0.2,0.8809523809523809,0.057142857142857134
,Connecticut Sun,(Underdog), 98 ,9.5,10.0,500.0,5.0,0.11904761904761904,-0.2857142857142857

20170618,Washington Mystics,(Favorite), 83  ,-8.5,-7.5,-360.0,0.2777777777777778,0.7955908289241623,0.016588281403096317
,Dallas Wings,(Underdog), 87 ,7.5,8.5,320.0,3.2,0.20440917107583775,-0.14148148148148132

20170618,Los Angeles Sparks,(Favorite), 90  ,-8.0,-7.0,-340.0,0.29411764705882354,0.7383258716592049,-0.04451946020573477
,Phoenix Mercury,(Underdog), 59 ,7.0,8.0,305.0,3.05,0.261674128340795,0.059780219780219745

20170618,Indiana Fever,(Favorite), 91 ,-2.0,-1.0,-115.0,0.8695652173913043,0.532734023842095,-0.004018998903909332
,Chicago Sky,(Underdog), 79  ,1.0,2.0,105.0,1.05,0.467265976157905,-0.04210474887629473

20170618,Seattle Storm,(Favorite), 75  ,-10.5,-10.0,-500.0,0.2,0.8766666666666667,0.052000000000000046
,San Antonio Stars,(Underdog), 57 ,10.0,10.5,475.0,4.75,0.12333333333333332,-0.2908333333333334

20170621,Dallas Wings,(Favorite), 81  ,-7.5,-6.5,-300.0,0.3333333333333333,0.6889462279751383,-0.0814050293664823
,San Antonio Stars,(Underdog), 78 ,6.5,7.5,280.0,2.8,0.31105377202486173,0.18200433369447455

20170623,Atlanta Dream,(Favorite), 78  ,-3.5,-3.0,-160.0,0.625,0.6006944444444444,-0.02387152777777779
,Chicago Sky,(Underdog), 82 ,3.0,3.5,150.0,1.5,0.3993055555555556,-0.0017361111111110494

20170623,New York Liberty,(Favorite), 89  ,-4.5,-4.0,-185.0,0.5405405405405406,0.605552645364065,-0.06712160038508913
