Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
201,0.44,0.073,57.049880245756555,97
202,0.33,0.09,35.51411598686279,114
203,0.44,0.084,42.59814049586777,88
204,0.33,0.076,59.814693509080996,136
205,0.33,0.084,34.1009877556018,128
206,0.33,0.062,33.00884922627859,154
207,0.33,0.09,12.233853087685077,117
208,0.23,0.0,14.520659992118137,223
209,0.2,0.084,21.77850436682305,147
210,0.33,0.086,33.832603662250364,109
211,0.27,0.076,27.760291793746784,153
212,0.18,0.062,21.93015001270864,176
213,0.2,0.076,15.07348226335564,160
214,0.32,0.067,34.48221388902134,154
215,0.33,0.073,32.50018877944829,126
216,0.32,0.084,20.890708593255614,128
217,0.16,0.061,28.211896421111742,172
218,0.24,0.108,27.549805296815215,120
219,0.33,0.093,24.59313526237303,111
220,0.44,0.072,50.145546372819105,110
221,0.24,0.071,26.60349286153083,157
222,0.33,0.09,26.52714544107989,122
223,0.33,0.085,46.87040173368301,128
224,0.18,0.084,20.15805563339823,149
225,0.3,0.076,28.486406495422035,145
226,0.27,0.067,28.526108040499864,164
227,0.31,0.086,40.22448951043172,132
228,0.33,0.072,37.73853276878396,138
229,0.17,0.061,24.12241309267423,166
230,0.16,0.058,27.27634505866619,178
231,0.16,0.086,18.33796890420022,154
232,0.31,0.067,38.3637435484679,148
233,0.31,0.09,53.11867509092749,128
234,0.33,0.103,43.785466670082116,104
235,0.33,0.067,34.67078534007352,135
236,0.32,0.067,29.148498031099123,158
237,0.32,0.071,22.15790002302645,144
238,0.32,0.071,44.22570533525157,151
239,0.32,0.085,29.241346495589653,115
240,0.33,0.085,41.15770573272715,121
241,0.18,0.062,25.49193012986671,176
242,0.24,0.103,26.173355693763746,125
243,0.18,0.084,15.166702168370104,149
244,0.33,0.09,45.94991667273305,120
245,0.27,0.09,32.103154926547326,133
246,0.16,0.083,25.37915983592286,163
247,0.44,0.085,65.23636363636368,100
248,0.44,0.092,29.258698092031416,90
249,0.33,0.103,50.92864358691075,106
250,0.33,0.083,29.77625564191809,125
251,0.33,0.064,25.540484412913685,145
252,0.33,0.086,25.45274781523488,128
253,0.13,0.065,15.632711168720117,177
254,0.27,0.076,18.984707323924614,145
255,0.16,0.076,29.4600360310313,149
256,0.32,0.076,29.817107097853345,136
257,0.24,0.09,33.34851173717603,131
258,0.2,0.076,16.747726955271975,162
259,0.19,0.011,10.831973378677986,226
260,0.13,0.061,8.33605685946539,176
261,0.31,0.103,44.84422545895926,109
262,0.2,0.1,33.976336501749515,151
263,0.32,0.061,35.05407135341347,148
264,0.16,0.028,22.838813906877768,184
265,0.2,0.079,36.746052261102854,152
266,0.33,0.096,36.92194553518014,101
267,0.33,0.084,27.481860657263883,124
268,0.15,0.065,21.60249331236522,177
269,0.2,0.004,18.71312479545909,219
270,0.44,0.076,10.177393772435114,121
271,0.3,0.096,21.198843903881457,124
272,0.13,0.079,20.020578103250212,170
273,0.31,0.071,32.521658085268676,139
274,0.33,0.079,35.51530807255484,128
275,0.32,0.09,29.97302429328384,95
276,0.33,0.076,46.57629873840453,144
277,0.24,0.028,6.4264045060571675,196
278,0.39,0.067,46.843851525059584,149
279,0.31,0.087,50.24163495397463,121
280,0.33,0.09,29.29823765296156,122
281,0.15,0.071,12.838992104272098,178
282,0.33,0.076,32.69628050136716,135
283,0.32,0.086,47.8857793120155,120
284,0.31,0.103,43.34570117015416,111
285,0.33,0.072,46.49748884003469,142
286,0.33,0.076,33.46989268041902,133
287,0.16,0.0,5.7527429651298,229
288,0.33,0.09,67.7420408912276,125
289,0.27,0.096,14.434443584384491,135
290,0.33,0.085,29.44558774558777,125
291,0.16,0.085,19.956372959543483,154
292,0.31,0.195,44.86271958632803,62
293,0.18,0.084,22.080605249105734,158
294,0.33,0.067,35.71304600439941,147
295,0.27,0.084,24.653887526772003,132
296,0.33,0.072,35.27539836312156,149
297,0.23,0.067,34.15740169086961,161
298,0.33,0.072,31.76866974169869,143
